context_id,depth_group,mean_single_layer_val_f1_macro
brain_tumor_mri_17c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Final,0.9717989210363707
brain_tumor_mri_17c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Final,0.9740092189840855
brain_tumor_mri_17c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Final,0.9754062521951351
brain_tumor_mri_17c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Final,0.9753094337424929
brain_tumor_mri_17c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Final,0.9677620175909428
brain_tumor_mri_17c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Final,0.983410878138968
brain_tumor_mri_17c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Final,0.9756602051918388
brain_tumor_mri_44c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Final,0.934647856693538
brain_tumor_mri_44c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Final,0.9382305622428296
brain_tumor_mri_44c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Final,0.9254346341601352
brain_tumor_mri_44c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Final,0.9358935398923836
brain_tumor_mri_44c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Final,0.928182266947176
brain_tumor_mri_44c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Final,0.9197811115858068
brain_tumor_mri_44c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Final,0.9366806567379504
brain_tumor_mri_44c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Final,0.933434659033384
brain_tumor_mri_44c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Final,0.8991952183921715
brain_tumor_mri_4c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Final,0.9952380548414324
brain_tumor_mri_4c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Final,0.9928683865949868
brain_tumor_mri_4c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Final,0.9911005982353382
brain_tumor_mri_4c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Final,0.9946414196549542
brain_tumor_mri_4c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Final,0.9958375077339896
brain_tumor_mri_4c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Final,0.9874807322357271
brain_tumor_mri_4c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Final,0.9905204547857144
brain_tumor_mri_4c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Final,0.9952380749917868
brain_tumor_mri_4c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Final,0.9892682814234934
sciencedb_brain_tumor_3c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Final,0.9140199918727824
sciencedb_brain_tumor_3c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Final,0.9272341322373924
sciencedb_brain_tumor_3c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Final,0.9252762648895496
sciencedb_brain_tumor_3c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Final,0.9191700980264811
sciencedb_brain_tumor_3c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Final,0.9169727390426456
sciencedb_brain_tumor_3c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Final,0.9210166621482425
sciencedb_brain_tumor_3c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Final,0.9366965281142065
sciencedb_brain_tumor_3c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Final,0.8930265995686556
sciencedb_brain_tumor_3c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Final,0.8983475551943654
